date,airport_arrivals,airport_arrivals_lag1
2013-11-28,55695,55695
2013-11-29,55695,55695
2013-11-30,55695,55695
2013-12-01,55695,55695
2013-12-02,55695,55695
2013-12-03,55695,55695
2013-12-04,55695,55695
2013-12-05,55695,55695
2013-12-06,55695,55695
2013-12-07,55695,55695
2013-12-08,55695,55695
2013-12-09,55695,55695
2013-12-10,55695,55695
2013-12-11,55695,55695
2013-12-12,55695,55695
2013-12-13,55695,55695
2013-12-14,55695,55695
2013-12-15,55695,55695
2013-12-16,55695,55695
2013-12-17,55695,55695
2013-12-18,55695,55695
2013-12-19,55695,55695
2013-12-20,55695,55695
2013-12-21,55695,55695
2013-12-22,55695,55695
2013-12-23,55695,55695
2013-12-24,55695,55695
2013-12-25,55695,55695
2013-12-26,55695,55695
2013-12-27,55695,55695
2013-12-28,55695,55695
2013-12-29,55695,55695
2013-12-30,55695,55695
2013-12-31,55695,55695
2014-01-01,57588,55695
2014-01-02,57588,57588
2014-01-03,57588,57588
2014-01-04,57588,57588
2014-01-05,57588,57588
2014-01-06,57588,57588
2014-01-07,57588,57588
2014-01-08,57588,57588
2014-01-09,57588,57588
2014-01-10,57588,57588
2014-01-11,57588,57588
2014-01-12,57588,57588
2014-01-13,57588,57588
2014-01-14,57588,57588
2014-01-15,57588,57588
2014-01-16,57588,57588
2014-01-17,57588,57588
2014-01-18,57588,57588
2014-01-19,57588,57588
2014-01-20,57588,57588
2014-01-21,57588,57588
2014-01-22,57588,57588
2014-01-23,57588,57588
2014-01-24,57588,57588
2014-01-25,57588,57588
2014-01-26,57588,57588
2014-01-27,57588,57588
2014-01-28,57588,57588
2014-01-29,57588,57588
2014-01-30,57588,57588
2014-01-31,57588,57588
2014-02-01,57588,57588
2014-02-02,57588,57588
2014-02-03,57588,57588
2014-02-04,57588,57588
2014-02-05,57588,57588
2014-02-06,57588,57588
2014-02-07,57588,57588
2014-02-08,57588,57588
2014-02-09,57588,57588
2014-02-10,57588,57588
2014-02-11,57588,57588
2014-02-12,57588,57588
2014-02-13,57588,57588
2014-02-14,57588,57588
2014-02-15,57588,57588
2014-02-16,57588,57588
2014-02-17,57588,57588
2014-02-18,57588,57588
2014-02-19,57588,57588
2014-02-20,57588,57588
2014-02-21,57588,57588
2014-02-22,57588,57588
2014-02-23,57588,57588
2014-02-24,57588,57588
2014-02-25,57588,57588
2014-02-26,57588,57588
2014-02-27,57588,57588
2014-02-28,57588,57588
2014-03-01,57588,57588
2014-03-02,57588,57588
2014-03-03,57588,57588
2014-03-04,57588,57588
2014-03-05,57588,57588
2014-03-06,57588,57588
2014-03-07,57588,57588
2014-03-08,57588,57588
2014-03-09,57588,57588
2014-03-10,57588,57588
2014-03-11,57588,57588
2014-03-12,57588,57588
2014-03-13,57588,57588
2014-03-14,57588,57588
2014-03-15,57588,57588
2014-03-16,57588,57588
2014-03-17,57588,57588
2014-03-18,57588,57588
2014-03-19,57588,57588
2014-03-20,57588,57588
2014-03-21,57588,57588
2014-03-22,57588,57588
2014-03-23,57588,57588
2014-03-24,57588,57588
2014-03-25,57588,57588
2014-03-26,57588,57588
2014-03-27,57588,57588
2014-03-28,57588,57588
2014-03-29,57588,57588
2014-03-30,57588,57588
2014-03-31,57588,57588
2014-04-01,58912,57588
2014-04-02,58912,58912
2014-04-03,58912,58912
2014-04-04,58912,58912
2014-04-05,58912,58912
2014-04-06,58912,58912
2014-04-07,58912,58912
2014-04-08,58912,58912
2014-04-09,58912,58912
2014-04-10,58912,58912
2014-04-11,58912,58912
2014-04-12,58912,58912
2014-04-13,58912,58912
2014-04-14,58912,58912
2014-04-15,58912,58912
2014-04-16,58912,58912
2014-04-17,58912,58912
2014-04-18,58912,58912
2014-04-19,58912,58912
2014-04-20,58912,58912
2014-04-21,58912,58912
2014-04-22,58912,58912
2014-04-23,58912,58912
2014-04-24,58912,58912
2014-04-25,58912,58912
2014-04-26,58912,58912
2014-04-27,58912,58912
2014-04-28,58912,58912
2014-04-29,58912,58912
2014-04-30,58912,58912
2014-05-01,58912,58912
2014-05-02,58912,58912
2014-05-03,58912,58912
2014-05-04,58912,58912
2014-05-05,58912,58912
2014-05-06,58912,58912
2014-05-07,58912,58912
2014-05-08,58912,58912
2014-05-09,58912,58912
2014-05-10,58912,58912
2014-05-11,58912,58912
2014-05-12,58912,58912
2014-05-13,58912,58912
2014-05-14,58912,58912
2014-05-15,58912,58912
2014-05-16,58912,58912
2014-05-17,58912,58912
2014-05-18,58912,58912
2014-05-19,58912,58912
2014-05-20,58912,58912
2014-05-21,58912,58912
2014-05-22,58912,58912
2014-05-23,58912,58912
2014-05-24,58912,58912
2014-05-25,58912,58912
2014-05-26,58912,58912
2014-05-27,58912,58912
2014-05-28,58912,58912
2014-05-29,58912,58912
2014-05-30,58912,58912
2014-05-31,58912,58912
2014-06-01,58912,58912
2014-06-02,58912,58912
2014-06-03,58912,58912
2014-06-04,58912,58912
2014-06-05,58912,58912
2014-06-06,58912,58912
2014-06-07,58912,58912
2014-06-08,58912,58912
2014-06-09,58912,58912
2014-06-10,58912,58912
2014-06-11,58912,58912
2014-06-12,58912,58912
2014-06-13,58912,58912
2014-06-14,58912,58912
2014-06-15,58912,58912
2014-06-16,58912,58912
2014-06-17,58912,58912
2014-06-18,58912,58912
2014-06-19,58912,58912
2014-06-20,58912,58912
2014-06-21,58912,58912
2014-06-22,58912,58912
2014-06-23,58912,58912
2014-06-24,58912,58912
2014-06-25,58912,58912
2014-06-26,58912,58912
2014-06-27,58912,58912
2014-06-28,58912,58912
2014-06-29,58912,58912
2014-06-30,58912,58912
2014-07-01,59554,58912
2014-07-02,59554,59554
2014-07-03,59554,59554
2014-07-04,59554,59554
2014-07-05,59554,59554
2014-07-06,59554,59554
2014-07-07,59554,59554
2014-07-08,59554,59554
2014-07-09,59554,59554
2014-07-10,59554,59554
2014-07-11,59554,59554
2014-07-12,59554,59554
2014-07-13,59554,59554
2014-07-14,59554,59554
2014-07-15,59554,59554
2014-07-16,59554,59554
2014-07-17,59554,59554
2014-07-18,59554,59554
2014-07-19,59554,59554
2014-07-20,59554,59554
2014-07-21,59554,59554
2014-07-22,59554,59554
2014-07-23,59554,59554
2014-07-24,59554,59554
2014-07-25,59554,59554
2014-07-26,59554,59554
2014-07-27,59554,59554
2014-07-28,59554,59554
2014-07-29,59554,59554
2014-07-30,59554,59554
2014-07-31,59554,59554
2014-08-01,59554,59554
2014-08-02,59554,59554
2014-08-03,59554,59554
2014-08-04,59554,59554
2014-08-05,59554,59554
2014-08-06,59554,59554
2014-08-07,59554,59554
2014-08-08,59554,59554
2014-08-09,59554,59554
2014-08-10,59554,59554
2014-08-11,59554,59554
2014-08-12,59554,59554
2014-08-13,59554,59554
2014-08-14,59554,59554
2014-08-15,59554,59554
2014-08-16,59554,59554
2014-08-17,59554,59554
2014-08-18,59554,59554
2014-08-19,59554,59554
2014-08-20,59554,59554
2014-08-21,59554,59554
2014-08-22,59554,59554
2014-08-23,59554,59554
2014-08-24,59554,59554
2014-08-25,59554,59554
2014-08-26,59554,59554
2014-08-27,59554,59554
2014-08-28,59554,59554
2014-08-29,59554,59554
2014-08-30,59554,59554
2014-08-31,59554,59554
2014-09-01,59554,59554
2014-09-02,59554,59554
2014-09-03,59554,59554
2014-09-04,59554,59554
2014-09-05,59554,59554
2014-09-06,59554,59554
2014-09-07,59554,59554
2014-09-08,59554,59554
2014-09-09,59554,59554
2014-09-10,59554,59554
2014-09-11,59554,59554
2014-09-12,59554,59554
2014-09-13,59554,59554
2014-09-14,59554,59554
2014-09-15,59554,59554
2014-09-16,59554,59554
2014-09-17,59554,59554
2014-09-18,59554,59554
2014-09-19,59554,59554
2014-09-20,59554,59554
2014-09-21,59554,59554
2014-09-22,59554,59554
2014-09-23,59554,59554
2014-09-24,59554,59554
2014-09-25,59554,59554
2014-09-26,59554,59554
2014-09-27,59554,59554
2014-09-28,59554,59554
2014-09-29,59554,59554
2014-09-30,59554,59554
2014-10-01,61641,59554
2014-10-02,61641,61641
2014-10-03,61641,61641
2014-10-04,61641,61641
2014-10-05,61641,61641
2014-10-06,61641,61641
2014-10-07,61641,61641
2014-10-08,61641,61641
2014-10-09,61641,61641
2014-10-10,61641,61641
2014-10-11,61641,61641
2014-10-12,61641,61641
2014-10-13,61641,61641
2014-10-14,61641,61641
